Got number of grades of student 1,2022-05-22 18:22:10
Got number of courses taught by teacher 2,2022-05-22 18:22:10
Got students with grades lower than 5,2022-05-22 18:22:10
Got grade average of student 1,2022-05-22 18:22:10
Got grade average of student 1,2022-05-22 18:22:10
Got grade average of student 2,2022-05-22 18:22:10
Got grade average of student 3,2022-05-22 18:22:10
Got grade average of student 4,2022-05-22 18:22:10
Got grade average of student 5,2022-05-22 18:22:10
Got grade average of student 6,2022-05-22 18:22:10
Got grade average of student 7,2022-05-22 18:22:10
Got grade average of student 8,2022-05-22 18:22:10
Got all average grades,2022-05-22 18:22:10
Get course 1,2022-05-22 18:22:10
Got average grade of student 1 in course 1,2022-05-22 18:22:10
Got average grade of course 1,2022-05-22 18:22:10
